Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Philippe Coutinho,8.01,39,65.0,1,7,263,Liverpool,Premier League,2017-2018
Kevin De Bruyne,7.79,63,72.41,3,19,810,Manchester City,Premier League,2017-2018
Eden Hazard,7.79,165,82.5,5,9,466,Chelsea,Premier League,2017-2018
Sergio Agüero,7.63,56,66.67,13,10,255,Manchester City,Premier League,2017-2018
Mohamed Salah,7.62,78,63.41,23,12,545,Liverpool,Premier League,2017-2018
Alexis Sánchez,7.58,84,70.0,9,10,692,Manchester United,Premier League,2017-2018
Mesut Özil,7.57,36,70.59,4,13,419,Arsenal,Premier League,2017-2018
David Silva,7.56,38,77.55,5,14,410,Manchester City,Premier League,2017-2018
Harry Kane,7.53,47,48.96,18,5,405,Tottenham Hotspur,Premier League,2017-2018
Leroy Sané,7.44,85,64.39,6,13,455,Manchester City,Premier League,2017-2018
Christian Eriksen,7.43,29,54.72,2,15,767,Tottenham Hotspur,Premier League,2017-2018
Paul Pogba,7.4,75,74.26,6,4,420,Manchester United,Premier League,2017-2018
Raheem Sterling,7.38,64,53.78,12,11,416,Manchester City,Premier League,2017-2018
Pierre-Emerick Aubameyang,7.35,11,78.57,6,1,141,Arsenal,Premier League,2017-2018
Cesc Fàbregas,7.35,18,72.0,2,8,529,Chelsea,Premier League,2017-2018
Roberto Firmino,7.31,50,68.49,7,11,542,Liverpool,Premier League,2017-2018
Fernandinho,7.31,22,88.0,1,7,376,Manchester City,Premier League,2017-2018
César Azpilicueta,7.31,6,66.67,0,11,480,Chelsea,Premier League,2017-2018
Aaron Ramsey,7.28,29,80.56,6,9,309,Arsenal,Premier League,2017-2018
Sadio Mané,7.27,55,63.95,12,9,378,Liverpool,Premier League,2017-2018
Willian,7.26,67,68.37,3,8,405,Chelsea,Premier League,2017-2018
Kieran Trippier,7.25,13,72.22,1,7,411,Tottenham Hotspur,Premier League,2017-2018
Ben Davies,7.25,15,71.43,0,5,481,Tottenham Hotspur,Premier League,2017-2018
Xherdan Shaqiri,7.24,39,57.35,3,14,567,Stoke City,Premier League,2017-2018
Serge Aurier,7.23,15,68.18,1,5,308,Tottenham Hotspur,Premier League,2017-2018
Emre Can,7.22,24,75.0,1,5,291,Liverpool,Premier League,2017-2018
Jan Vertonghen,7.22,30,78.95,1,2,394,Tottenham Hotspur,Premier League,2017-2018
Granit Xhaka,7.21,18,75.0,0,3,555,Arsenal,Premier League,2017-2018
Phil Jones,7.21,7,77.78,1,0,111,Manchester United,Premier League,2017-2018
Laurent Koscielny,7.21,2,66.67,1,0,220,Arsenal,Premier League,2017-2018
Nicolás Otamendi,7.2,5,71.43,1,1,275,Manchester City,Premier League,2017-2018
Virgil van Dijk,7.19,5,83.33,2,4,223,Liverpool,Premier League,2017-2018
Marko Arnautović,7.19,56,70.0,8,8,387,West Ham United,Premier League,2017-2018
Chris Smalling,7.18,3,100.0,0,0,150,Manchester United,Premier League,2017-2018
Romelu Lukaku,7.18,35,61.4,11,9,413,Manchester United,Premier League,2017-2018
Pascal Groß,7.18,11,73.33,0,16,577,Brighton & Hove Albion,Premier League,2017-2018
Vincent Kompany,7.18,3,100.0,1,1,115,Manchester City,Premier League,2017-2018
Robbie Brady,7.17,16,64.0,0,3,287,Burnley,Premier League,2017-2018
James Tomkins,7.17,6,100.0,3,0,176,Crystal Palace,Premier League,2017-2018
Manuel Lanzini,7.17,65,63.73,3,6,348,West Ham United,Premier League,2017-2018
Ben Mee,7.16,3,100.0,2,0,275,Burnley,Premier League,2017-2018
Andros Townsend,7.16,84,69.42,2,14,575,Crystal Palace,Premier League,2017-2018
Wilfried Zaha,7.16,118,60.2,8,7,551,Crystal Palace,Premier League,2017-2018
Junior Stanislas,7.15,20,66.67,2,3,235,Bournemouth,Premier League,2017-2018
Chris Brunt,7.15,15,100.0,2,7,379,West Bromwich Albion,Premier League,2017-2018
N'Golo Kanté,7.14,47,82.46,0,4,349,Chelsea,Premier League,2017-2018
James Tarkowski,7.13,11,84.62,1,1,327,Burnley,Premier League,2017-2018
Andrew Robertson,7.13,9,52.94,0,8,327,Liverpool,Premier League,2017-2018
Henrikh Mkhitaryan,7.12,30,53.57,1,11,381,Arsenal,Premier League,2017-2018
Christopher Schindler,7.11,2,100.0,1,3,279,Huddersfield Town,Premier League,2017-2018
Marcos Alonso,7.11,17,51.52,1,4,473,Chelsea,Premier League,2017-2018
Nemanja Matić,7.11,54,83.08,0,2,430,Manchester United,Premier League,2017-2018
Fabian Delph,7.1,30,93.75,0,1,172,Manchester City,Premier League,2017-2018
Alex Iwobi,7.1,36,69.23,2,6,270,Arsenal,Premier League,2017-2018
Alexandre Lacazette,7.1,33,73.33,13,5,316,Arsenal,Premier League,2017-2018
Shane Duffy,7.1,6,85.71,2,2,341,Brighton & Hove Albion,Premier League,2017-2018
Lewis Dunk,7.1,10,76.92,3,1,374,Brighton & Hove Albion,Premier League,2017-2018
Danilo,7.1,8,61.54,0,0,172,Manchester City,Premier League,2017-2018
Juan Mata,7.09,17,70.83,3,6,300,Manchester United,Premier League,2017-2018
Shkodran Mustafi,7.08,1,50.0,0,3,268,Arsenal,Premier League,2017-2018
Antonio Valencia,7.08,29,60.42,0,1,405,Manchester United,Premier League,2017-2018
Riyad Mahrez,7.08,80,50.96,5,12,649,Leicester City,Premier League,2017-2018
Kurt Zouma,7.07,22,81.48,0,0,325,Stoke City,Premier League,2017-2018
Kevin Long,7.07,0,0.0,2,3,167,Burnley,Premier League,2017-2018
Nacho Monreal,7.07,6,54.55,0,4,233,Arsenal,Premier League,2017-2018
Ashley Young,7.07,29,55.77,0,5,466,Manchester United,Premier League,2017-2018
Dejan Lovren,7.07,0,0.0,1,1,220,Liverpool,Premier League,2017-2018
Alex Oxlade-Chamberlain,7.06,57,76.0,0,5,319,Liverpool,Premier League,2017-2018
Eric Bailly,7.06,4,100.0,0,0,66,Manchester United,Premier League,2017-2018
Andreas Christensen,7.06,5,100.0,1,0,104,Chelsea,Premier League,2017-2018
Joël Matip,7.05,3,75.0,2,1,209,Liverpool,Premier League,2017-2018
Trent Alexander-Arnold,7.05,20,62.5,1,3,395,Liverpool,Premier League,2017-2018
Jamie Vardy,7.05,24,42.11,7,5,333,Leicester City,Premier League,2017-2018
Jóhann Guðmundsson,7.05,36,55.38,0,7,492,Burnley,Premier League,2017-2018
Jordan Henderson,7.04,8,57.14,1,2,382,Liverpool,Premier League,2017-2018
Kyle Walker,7.04,26,68.42,1,6,445,Manchester City,Premier League,2017-2018
Gabriel Jesus,7.04,24,64.86,13,4,207,Manchester City,Premier League,2017-2018
Terence Kongolo,7.04,7,70.0,0,0,147,Huddersfield Town,Premier League,2017-2018
Harry Maguire,7.03,51,86.44,3,5,460,Leicester City,Premier League,2017-2018
João Mário,7.03,17,68.0,1,1,188,West Ham United,Premier League,2017-2018
Alberto Moreno,7.03,6,66.67,0,0,195,Liverpool,Premier League,2017-2018
Jonjo Shelvey,7.03,23,69.7,1,4,503,Newcastle United,Premier League,2017-2018
Aaron Mooy,7.02,16,64.0,0,5,652,Huddersfield Town,Premier League,2017-2018
Abdoulaye Doucouré,7.02,41,77.36,1,1,512,Watford,Premier League,2017-2018
Álvaro Morata,7.02,32,54.24,17,4,354,Chelsea,Premier League,2017-2018
Ryan Fraser,7.02,10,43.48,0,3,384,Bournemouth,Premier League,2017-2018
James Milner,7.02,12,75.0,0,5,348,Liverpool,Premier League,2017-2018
Eric Dier,7.01,13,86.67,1,3,368,Tottenham Hotspur,Premier League,2017-2018
Jamaal Lascelles,7.01,5,83.33,1,0,292,Newcastle United,Premier League,2017-2018
Steve Cook,7.01,1,50.0,2,1,394,Bournemouth,Premier League,2017-2018
Luka Milivojević,7.01,28,75.68,2,2,426,Crystal Palace,Premier League,2017-2018
Pedro,7.0,33,64.71,2,0,233,Chelsea,Premier League,2017-2018
Davinson Sánchez,7.0,9,100.0,1,0,214,Tottenham Hotspur,Premier League,2017-2018
Jesse Lingard,7.0,28,53.85,7,4,260,Manchester United,Premier League,2017-2018
Idrissa Gueye,7.0,18,66.67,1,1,343,Everton,Premier League,2017-2018
Dušan Tadić,7.0,54,85.71,4,8,544,Southampton,Premier League,2017-2018
John Stones,7.0,4,100.0,2,0,64,Manchester City,Premier League,2017-2018
Joe Gomez,7.0,23,88.46,1,2,346,Liverpool,Premier League,2017-2018
Cenk Tosun,6.99,4,50.0,2,2,138,Everton,Premier League,2017-2018
Jack Butland,6.99,0,0.0,0,0,643,Stoke City,Premier League,2017-2018
Antonio Rüdiger,6.99,8,80.0,2,1,229,Chelsea,Premier League,2017-2018
Ragnar Klavan,6.99,4,80.0,0,0,131,Liverpool,Premier League,2017-2018
Florian Lejeune,6.98,12,92.31,0,2,274,Newcastle United,Premier League,2017-2018
Ahmed Hegazy,6.98,22,75.86,2,0,363,West Bromwich Albion,Premier League,2017-2018
David De Gea,6.98,1,100.0,0,0,406,Manchester United,Premier League,2017-2018
Matthew Lowton,6.98,11,64.71,0,3,422,Burnley,Premier League,2017-2018
Mario Lemina,6.98,55,88.71,0,1,198,Southampton,Premier League,2017-2018
Patrick van Aanholt,6.97,25,83.33,2,3,354,Crystal Palace,Premier League,2017-2018
Ryan Shawcross,6.97,3,100.0,4,0,224,Stoke City,Premier League,2017-2018
Dele Alli,6.97,44,41.9,8,16,584,Tottenham Hotspur,Premier League,2017-2018
